254351458.8,221465810.5,475817280,0.534557002,0.465442975,102094020.2,43396819,145490832,0.701721331,0.298278719,17554208.4,7218931,24773140,0.708598442,0.291401534,5213871.498,748370.1249,5962241.5,0.87448177,0.125518251,465829515.9,21298037.5,487127552,0.956278318,0.043721685,61417933.25,750718.8749,62168652,0.987924481,0.012075521,737735183,249982779,987717962,0.746908745,0.253091255,168725825,44895908,213621733,0.789834548,0.210165452
269923670.1,352036130.5,621959808,0.433988928,0.56601106,143556335.7,69467719.95,213024048,0.673897323,0.326102713,9804922.83,3045064.508,12849987,0.763029786,0.23697024,6509660.492,15043437,21553098,0.302028993,0.697970983,254514599.1,121472325,375986912,0.676924092,0.32307594,80985612.8,72537770.05,153523376,0.527513235,0.472486809,534243192,476553520,1010796712,0.528536733,0.471463267,231051609,157048927,388100536,0.595339577,0.404660423
485795125,2134531709,2620326912,0.185394854,0.814605116,71643381,504101696.1,575745088,0.12443594,0.875564041,430283062.5,36498773.5,466781824,0.921807663,0.078192362,10481507.5,90016056.51,100497568,0.104296131,0.895703829,1254812281,142138920,1396951168,0.898250641,0.101749383,105196022.5,1813705250,1918901248,0.054820967,0.945179045,2170890469,2313169402,4484059871,0.484135032,0.515864968,187320911,2407823002,2595143913,0.072181319,0.927818681
183900900,238274909,422175808,0.435602648,0.564397354,52100697.5,33627147.5,85727848,0.607745309,0.392254656,42583828.22,10844258.25,53428088,0.797030734,0.202969237,2830965.747,20722299.5,23553266,0.120194191,0.879805777,680024152.8,121050452.7,801074624,0.848889894,0.151110083,55479368.75,23418038,78897408,0.703183668,0.296816316,906508881,370169620,1276678501,0.710052594,0.289947406,110411032,77767485,188178517,0.586735584,0.413264416
10374989.62,13963875.63,24338866,0.426272515,0.573727454,37259544.48,6833138.5,44092684,0.845027816,0.15497216,5382654.375,862492.8752,6245147.5,0.861893874,0.138106086,46124839.24,4875874.5,51000712,0.904395986,0.095604048,63556.99995,616019.4997,679576.5,0.093524423,0.906475577,149631.2802,0,149631.2813,0.999999993,0,15821201,15442388,31263589,0.506058374,0.493941626,83534015,11709013,95243028,0.877061731,0.122938269
13129977.25,1969376,15099353,0.869572176,0.13042784,4280183.75,2148193,6428376.5,0.66582655,0.334173488,156.750463,423.0000479,579.7504883,0.270375733,0.729624306,95265.25019,0,95265.25,1.000000002,0,0,20.99998773,20.99998856,0,0.999999961,0,0,0,,,13130134,1969820,15099954,0.869547947,0.130452053,4375449,2148193,6523642,0.670706486,0.329293514
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193026,0,193026,1,0,2168,10,2178,0.995408632,0.004591368,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,193026,0,193026,1,0,2168,10,2178,0.995408632,0.004591368
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,,,0,0,0,,,2663253,1621,2664874,0.999391716,0.000608284,2975053,0,2975053,1,0,0,0,0,,,0,0,0,,,2663253,1621,2664874,0.999391716,0.000608284,2975053,0,2975053,1,0
0,0,0,,,396109.89,6053257.98,6449368,0.061418404,0.938581576,0,0,0,,,396109.89,6053257.98,6449368,0.061418404,0.938581576,0,0,0,,,408113.22,6236690.04,6644803.5,0.061418403,0.938581561,0,0,0,,,1200333,18343206,19543539,0.061418405,0.938581595
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
